iso3,acat,mixing,P.mid,P1.mid,P2.mid,LTBI.mid,LTBI1.mid,LTBI2.mid,P.lo,P1.lo,P2.lo,LTBI.lo,LTBI1.lo,LTBI2.lo,P.hi,P1.hi,P2.hi,LTBI.hi,LTBI1.hi,LTBI2.hi,inc.num.mid,inc.num0.mid,inc.num.lo,inc.num0.lo,inc.num.hi,inc.num0.hi,LTBI.fmt,inc.num0.fmt,inc.num.fmt,sex,notified,CDR0,CDR
LSO,15-19,assortative,0.30939041260379,0.0176974112985887,0.0352474589985119,67194.0285901164,3843.55918065008,7655.11364021481,0.259148521272452,0.0176974112985887,0.0352474589985119,56282.3941469937,2151.5694656361,4643.3286559242,0.368769708616003,0.0176974112985887,0.0352474589985119,80090.1428566408,6553.46979801355,12073.8139803252,635.988006325204,516.263316934448,347.889298285044,288.624357445856,1127.92882226651,917.92855092621,    67 200 (    56 300 to     80 100),       516 (   289 to     918),        636 (   348 to   1 130),B,159,30.7982370206227,25.0004714583717
LSO,15-19,random,0.304956456968931,0.016131951196849,0.0324216080902113,66231.0532374263,3503.56942483406,7041.38968824828,0.255292594732529,0.016131951196849,0.0324216080902113,55444.9563092001,1950.24479508027,4239.22538708741,0.364052106596581,0.016131951196849,0.0324216080902113,79065.5646148586,6041.59974440294,11236.4693999204,588.992765061584,478.162892944384,326.012235615859,270.221353279773,1036.3596394748,843.768172771117,    66 200 (    55 400 to     79 100),       478 (   270 to     844),        589 (   326 to   1 040),B,159,33.2522666116824,26.9952382154262
MMR,10-14,assortative,0.0818611607552322,0.00647721972597605,0.0127477754212318,402891.654386345,31878.5825554711,62740.0379108037,0.0662120261796813,0.00647721972597605,0.0127477754212318,325872.153799124,14842.9081858285,36858.4764722561,0.0975720995077314,0.00647721972597605,0.0127477754212318,480215.333253829,53125.2760762345,101858.148055204,4173.85085737548,3381.0960302451,1991.49240480278,1609.80971829102,7055.6198961543,5730.32772257936,   403 000 (   326 000 to    480 000),     3 380 (  1 610 to   5 730),      4 170 (  1 990 to   7 060),B,3241,95.8564906470598,77.650115223282
MMR,10-14,random,0.0818611607552322,0.00647834216282035,0.0127494073860777,402891.654386345,31884.1067922762,62748.0698640599,0.0662120261796813,0.00647834216282035,0.0127494073860777,325872.153799124,14764.3460126852,36889.9135380328,0.0975720995077314,0.00647834216282035,0.0127494073860777,480215.333253829,53160.2735470454,101971.664071856,4173.32153440847,3381.26302771021,1989.35298960105,1611.15243367773,7053.019244878,5736.83956968066,   403 000 (   326 000 to    480 000),     3 380 (  1 610 to   5 740),      4 170 (  1 990 to   7 050),B,3241,95.8517563833183,77.6599639706262
MMR,15-19,assortative,0.12312521403363,0.00727197747997361,0.014116915557157,624535.287530409,36886.0804183415,71606.0636785856,0.10413250172773,0.00727197747997361,0.014116915557157,528197.432331167,17114.2812868089,41819.7864075691,0.146286524338989,0.00727197747997361,0.014116915557157,742017.768309589,61204.9184244611,116482.972383282,6077.38210788682,4869.85156248369,3070.37035414198,2463.35881907017,10289.801856877,8246.93530859006,   625 000 (   528 000 to    742 000),     4 870 (  2 460 to   8 250),      6 080 (  3 070 to  10 300),B,4093,84.0477363115461,67.3480773026988
MMR,15-19,random,0.120239604777457,0.00626828195831785,0.0123363833090681,609898.441449379,31794.9764058112,62574.5649052016,0.101702867501341,0.00626828195831785,0.0123363833090681,515873.455296236,14790.0002805019,36437.3146692916,0.142006033659864,0.00626828195831785,0.0123363833090681,720305.582888912,52876.6162257398,102237.857890806,5367.89454769026,4301.30741222583,2746.15369448722,2201.46787039533,9010.41723325911,7221.54148891897,   610 000 (   516 000 to    720 000),     4 300 (  2 200 to   7 220),      5 370 (  2 750 to   9 010),B,4093,95.1571140524915,76.2496350037497
MNG,10-14,assortative,0.0642886674350783,0.00479286605433728,0.00950030869172994,17093.1994749735,1274.33681225931,2525.96107557454,0.0503890663985756,0.00479286605433728,0.00950030869172994,13397.5457521861,667.242433049981,1487.27502287522,0.0796194483760987,0.00479286605433728,0.00950030869172994,21169.3781731339,2036.23317192403,3872.0880464267,130.485105923498,137.390052190879,68.169340433312,71.7699420149653,226.91049787379,238.931754416392,    17 100 (    13 400 to     21 200),       137 (    71.8 to     239),        130 (    68.2 to     227),B,,,
MNG,10-14,random,0.0642886674350783,0.00479358324388012,0.0095019240613265,17093.1994749735,1274.52750004934,2526.39057327361,0.0503890663985756,0.00479358324388012,0.0095019240613265,13397.5457521861,668.893338457355,1489.25388688739,0.0796194483760987,0.00479358324388012,0.0095019240613265,21169.3781731339,2038.10333917078,3870.57330429149,130.508944355301,137.415837446015,68.215811271351,71.8272048123889,226.796906880047,238.721616233549,    17 100 (    13 400 to     21 200),       137 (    71.8 to     239),        131 (    68.2 to     227),B,,,
MNG,15-19,assortative,0.0994552545966818,0.00632958405376127,0.012221286839845,21393.620905783,1361.54416663648,2628.89656954538,0.0814754442406973,0.00632958405376127,0.012221286839845,17526.0198597279,716.998577325846,1546.01728330923,0.118073291781623,0.00632958405376127,0.012221286839845,25398.5096485614,2171.69641738711,3993.34198296808,163.62542116374,172.611243286154,93.0203946648463,98.1391117289564,258.482813115624,272.698956151856,    21 400 (    17 500 to     25 400),       173 (    98.1 to     273),        164 (    93 to     258),B,,,
MNG,15-19,random,0.0945887494453368,0.00467086491032041,0.00925868247007741,20346.7967156875,1004.7404091292,1991.61666877341,0.0781915737326728,0.00467086491032041,0.00925868247007741,16819.6330424878,527.647784542864,1171.48538976974,0.113256865693474,0.00467086491032041,0.00925868247007741,24362.4578655917,1602.63589155912,3036.94807337023,126.666299191782,133.616363002088,74.9084836173289,79.0091799533874,198.085294760431,208.973965827101,    20 300 (    16 800 to     24 400),       134 (    79 to     209),        127 (    74.9 to     198),B,,,
